liquibase_pickup_districts_import_system_id,liquibase_trash_types_import_system_id,date
HUEFIV,HUEBLU,2024-04-08
HUEFIV,HUEBLU,2024-05-06
HUEFIV,HUEBLU,2024-06-03
HUEFIV,HUEBLU,2024-07-01
HUEFIV,HUEBLU,2024-07-29
HUEFIV,HUEBLU,2024-08-26
HUEFIV,HUEBLU,2024-09-23
HUEFIV,HUEBLU,2024-10-21
HUEFIV,HUEBLU,2024-11-18
HUEFIV,HUEBLU,2024-12-16

HUESIX,HUEBLU,2024-01-15
HUESIX,HUEBLU,2024-02-13
HUESIX,HUEBLU,2024-03-11
HUESIX,HUEBLU,2024-04-08
HUESIX,HUEBLU,2024-05-06
HUESIX,HUEBLU,2024-06-03
HUESIX,HUEBLU,2024-07-01
HUESIX,HUEBLU,2024-07-29
HUESIX,HUEBLU,2024-08-26
HUESIX,HUEBLU,2024-09-23
HUESIX,HUEBLU,2024-10-21
HUESIX,HUEBLU,2024-11-18
HUESIX,HUEBLU,2024-12-16

HUEONE,HUEGRE,2024-01-08
HUEONE,HUEGRE,2024-03-18
HUEONE,HUEGRE,2024-10-14

HUETWO,HUEGRE,2024-01-09
HUETWO,HUEGRE,2024-03-19
HUETWO,HUEGRE,2024-10-15

HUETHR,HUEGRE,2024-01-10
HUETHR,HUEGRE,2024-03-20
HUETHR,HUEGRE,2024-10-16

HUEFOU,HUEGRE,2024-01-11
HUEFOU,HUEGRE,2024-03-21
HUEFOU,HUEGRE,2024-10-17

HUEFIV,HUEGRE,2024-01-12
HUEFIV,HUEGRE,2024-03-22
HUEFIV,HUEGRE,2024-10-18

HUESIX,HUEGRE,2024-01-12
HUESIX,HUEGRE,2024-03-22
HUESIX,HUEGRE,2024-10-18

HUEONE,HUEYEL,2024-01-04
HUEONE,HUEYEL,2024-01-17
HUEONE,HUEYEL,2024-01-31
HUEONE,HUEYEL,2024-02-15
HUEONE,HUEYEL,2024-02-28
HUEONE,HUEYEL,2024-03-13
HUEONE,HUEYEL,2024-03-27
HUEONE,HUEYEL,2024-04-10
HUEONE,HUEYEL,2024-04-24
HUEONE,HUEYEL,2024-05-08
HUEONE,HUEYEL,2024-05-23
HUEONE,HUEYEL,2024-06-05
HUEONE,HUEYEL,2024-06-19
HUEONE,HUEYEL,2024-07-03
HUEONE,HUEYEL,2024-07-17
HUEONE,HUEYEL,2024-07-31
HUEONE,HUEYEL,2024-08-14
HUEONE,HUEYEL,2024-08-28
HUEONE,HUEYEL,2024-09-11
HUEONE,HUEYEL,2024-09-25
HUEONE,HUEYEL,2024-10-09
HUEONE,HUEYEL,2024-10-23
HUEONE,HUEYEL,2024-11-06
HUEONE,HUEYEL,2024-11-20
HUEONE,HUEYEL,2024-12-04
HUEONE,HUEYEL,2024-12-18

HUEFIV,HUEYEL,2024-01-04
HUEFIV,HUEYEL,2024-01-17
HUEFIV,HUEYEL,2024-01-31
HUEFIV,HUEYEL,2024-02-15
HUEFIV,HUEYEL,2024-02-28
